"epoch","0504151150 - _step","0504151150 - _step__MIN","0504151150 - _step__MAX","0504151150 - test_accuracy","0504151150 - test_accuracy__MIN","0504151150 - test_accuracy__MAX"
"1","188","188","188","0.9446666666666667","0.9446666666666667","0.9446666666666667"
"2","377","377","377","0.911","0.911","0.911"
"3","566","566","566","0.959","0.959","0.959"
"4","755","755","755","0.92","0.92","0.92"
"5","944","944","944","0.9806666666666667","0.9806666666666667","0.9806666666666667"
"6","1133","1133","1133","0.9793333333333333","0.9793333333333333","0.9793333333333333"
"7","1322","1322","1322","0.96","0.96","0.96"
"8","1511","1511","1511","0.9966666666666667","0.9966666666666667","0.9966666666666667"
"9","1700","1700","1700","0.9723333333333334","0.9723333333333334","0.9723333333333334"
"10","1889","1889","1889","0.999","0.999","0.999"
"11","2078","2078","2078","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"12","2267","2267","2267","0.9983333333333333","0.9983333333333333","0.9983333333333333"
"13","2456","2456","2456","1","1","1"
"14","2645","2645","2645","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"15","2834","2834","2834","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"16","3023","3023","3023","1","1","1"
"17","3212","3212","3212","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"18","3401","3401","3401","1","1","1"
"19","3590","3590","3590","1","1","1"
"20","3779","3779","3779","1","1","1"
"21","3968","3968","3968","1","1","1"
"22","4157","4157","4157","1","1","1"
"23","4346","4346","4346","1","1","1"
"24","4535","4535","4535","1","1","1"
"25","4724","4724","4724","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"26","4913","4913","4913","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"27","5102","5102","5102","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"28","5291","5291","5291","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"29","5480","5480","5480","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"30","5669","5669","5669","1","1","1"